Date,Title,Comment,Authors,ISBN,Status
01/08/2025,Il canto della cellula,"molto carino, non ne sapevo quasi nulla.",,,unmatched
04/08/2025,"Michelangelo, una vita inquieta",molto bello e interessante.,Antonio Forcellino,9788842084761,matched
05/08/2025,Uno studio in rosso,avvincente.,,,unmatched
06/08/2025,Il segno dei quattro,carino.,,,unmatched
07/08/2025,Le avventure di Sherlock Holmes,"carino, mi piace la logica deduttiva.",,,unmatched
08/08/2025,Le memorie di Sherlock Holmes,"carine, concluse con la morte di Sherlock.",,,unmatched
09/08/2025,Il mastino dei Baskerville,"devo dire che me l'aspettavo molto meglio, ho preferito tutti gli altri a questo.",,,unmatched
10/08/2025,Il gioco degli dei,carino.,,,unmatched
11/08/2025,Come siamo diventati stupidi,provocatorio ma interessante.,,,unmatched
12/08/2025,A spasso con il cane Luna,"carino, lui e' sempre tosto.",Giorgio Vallortigara,9788845939853,matched
15/08/2025,Il canto delle sirene,interessante lo spunto sull'attenzione come risorsa e a cascata i suoi effetti nella societa' capitalistica.,,,unmatched
18/08/2025,la valle del caos,veramente bizzarro.,Friedrich Dürrenmatt,9788806118327,matched
22/08/2025,Incognito,"molti spunti interessanti, ma niente di particolarmente nuovo.",David Eagleman,9781782112464,matched
24/08/2025,Math without numbers,proprio carino.,Milo Beckman,9780141996325,matched
25/08/2025,Cos'è la scienza,"molto bello, cattura in pieno la mia visione.",,,unmatched
31/08/2025,Why we remember,"molto interessante, anche se siamo lontani anni luce dall'aver capito come funziona davvero.",Charan Ranganath,9780571374168,matched
05/09/2025,"Eat, poop, die","interessante, non immaginavo proprio tutti questi studi.",,,unmatched
06/09/2025,La tribu' degli alberi,"carino, peccato averlo letto dopo il secondo.",Stefano Mancuso,9788806262723,matched
08/09/2025,Dimmi come ti chiami e ti diro' chi sei,un sacco di aneddoti interessanti.,,,unmatched
12/09/2025,Immune,"molto interessante, un po' di risposte.",,,unmatched
14/09/2025,May Contain Lies,"molto interessante, come fare debunking di paper e articoli, e poi in generale come applicarlo in aziende e nella societa'.",,,unmatched
27/09/2025,La nazione delle piante,un paio di spunti molto interessanti.,Stefano Mancuso,9788858135815,matched
01/10/2025,Steve Jobs non abita piu' qui,"reportage colto sulla california del nord, interessante.",Michele Masneri,9788845934643,matched
26/10/2025,The culture code,molto interessante.,,,unmatched
